containous/traefik, https://github.com/containous/traefik, The Cloud Native Edge Router2015-09-13T19:04:02Z, 2019-02-06T22:06:23Z, https://traefik.io, 2088, 20295, 20295, 360, Go
fatedier/frp, https://github.com/fatedier/frp, A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.2015-12-21T15:24:59Z, 2019-02-06T21:46:54Z, , 3479, 19547, 19547, 18, Go
junegunn/fzf, https://github.com/junegunn/fzf, :cherry_blossom: A command-line fuzzy finder2013-10-23T16:04:23Z, 2019-02-06T20:39:56Z, , 749, 19445, 19445, 130, Go
astaxie/beego, https://github.com/astaxie/beego, beego is an open-source, high-performance web framework for the Go programming language.2012-02-29T02:32:08Z, 2019-02-06T12:35:43Z, beego.me, 3882, 18804, 18804, 567, Go
FiloSottile/mkcert, https://github.com/FiloSottile/mkcert, A simple zero-config tool to make locally trusted development certificates with any names you'd like.2018-06-25T05:33:03Z, 2019-02-06T21:38:56Z, , 606, 17245, 17245, 14, Go
pingcap/tidb, https://github.com/pingcap/tidb, TiDB is a distributed HTAP database compatible with the MySQL protocol 2015-09-06T04:01:52Z, 2019-02-06T15:57:01Z, https://pingcap.com, 2466, 17225, 17225, 732, Go
drone/drone, https://github.com/drone/drone, Drone is a Continuous Delivery platform built on Docker, written in Go2014-02-07T07:54:44Z, 2019-02-06T21:13:25Z, https://drone.io, 1702, 17060, 17060, 114, Go
influxdata/influxdb, https://github.com/influxdata/influxdb, Scalable datastore for metrics, events, and real-time analytics2013-09-26T14:31:10Z, 2019-02-06T21:53:07Z, https://influxdata.com, 2232, 15510, 15510, 1354, Go
hashicorp/terraform, https://github.com/hashicorp/terraform, Terraform is a tool for building, changing, and combining infrastructure safely and efficiently.2014-03-13T22:25:48Z, 2019-02-06T20:48:12Z, https://www.terraform.io/, 4394, 15478, 15478, 1545, Go
inconshreveable/ngrok, https://github.com/inconshreveable/ngrok, Introspected tunnels to localhost2013-03-20T09:37:43Z, 2019-02-06T22:01:20Z, , 2632, 15373, 15373, 144, Go
cockroachdb/cockroach, https://github.com/cockroachdb/cockroach, CockroachDB - the open source, cloud-native SQL database.2014-02-06T00:18:47Z, 2019-02-06T22:01:02Z, https://www.cockroachlabs.com, 1655, 15370, 15370, 2187, Go
istio/istio, https://github.com/istio/istio, Connect, secure, control, and observe services.2016-11-18T23:57:21Z, 2019-02-06T22:10:19Z, https://istio.io, 2387, 15117, 15117, 1048, Go
hashicorp/consul, https://github.com/hashicorp/consul, Consul is a distributed, highly available, and data center aware solution to connect and configure applications across dynamic, distributed infrastructure.2013-11-04T22:15:27Z, 2019-02-06T20:18:31Z, https://www.consul.io, 2565, 14823, 14823, 500, Go
github/hub, https://github.com/github/hub, A command-line tool that makes git easier to use with GitHub.2009-12-05T22:15:25Z, 2019-02-06T21:37:46Z, https://hub.github.com/, 1488, 14630, 14630, 196, Go
minio/minio, https://github.com/minio/minio, Minio is an open source object storage server compatible with Amazon S3 APIs2015-01-14T19:23:58Z, 2019-02-06T22:02:13Z, https://minio.io/downloads.html#download-server, 1335, 14611, 14611, 137, Go
nsqio/nsq, https://github.com/nsqio/nsq, A realtime distributed messaging platform2012-05-12T14:37:08Z, 2019-02-06T02:03:46Z, http://nsq.io/, 1869, 14399, 14399, 46, Go
